iter	Logloss
2481	0.09030523467
2482	0.09029400379
2483	0.09025690354
2484	0.09022778856
2485	0.09021158945
2486	0.09018647839
2487	0.09017515261
2488	0.09016158369
2489	0.0901474536
2490	0.09013142414
2491	0.09010249695
2492	0.09005814942
2493	0.09002311719
2494	0.09000108066
2495	0.08997704378
2496	0.08993573695
2497	0.08992658443
2498	0.08991104935
2499	0.08985234707
2500	0.08982625853
2501	0.0898167731
2502	0.08981342714
2503	0.08980544735
2504	0.08976817792
2505	0.08974552099
2506	0.08972336502
2507	0.08970561598
2508	0.08969902004
2509	0.0896761423
2510	0.08964697233
2511	0.08958940819
2512	0.08955281613
2513	0.08951558867
2514	0.08947017424
2515	0.08944633278
2516	0.08941890879
2517	0.08939906587
2518	0.08937563989
2519	0.08935382876
2520	0.08933624991
2521	0.08930361448
2522	0.08928891936
2523	0.08926326208
2524	0.08924732873
2525	0.08920633379
2526	0.08919399253
2527	0.08918091064
2528	0.089155505
2529	0.08914598669
2530	0.08913193031
2531	0.08911409898
2532	0.08907069533
2533	0.08906172374
2534	0.08904013225
2535	0.08901417874
2536	0.08898638925
2537	0.08895398221
2538	0.08893609323
2539	0.088903122
2540	0.08889838706
2541	0.08887811993
2542	0.08886064727
2543	0.08885686492
2544	0.08883714539
2545	0.08883557686
2546	0.08881755517
2547	0.08878643823
2548	0.08877345055
2549	0.08875491323
2550	0.08873117565
2551	0.08870451646
2552	0.08868980544
2553	0.08867873363
2554	0.08866804711
2555	0.08864686921
2556	0.08864685092
2557	0.08864103423
2558	0.08862465089
2559	0.08859025237
2560	0.0885637813
2561	0.08854928899
2562	0.08851962223
2563	0.08850578993
2564	0.0884930729
2565	0.08846680331
2566	0.08844114374
2567	0.08841984811
2568	0.08838194812
2569	0.08835642449
2570	0.08833837158
2571	0.08829436667
2572	0.08827613466
2573	0.08823680333
2574	0.08820219341
2575	0.0882001836
2576	0.08817892172
2577	0.08817214034
2578	0.08816542782
2579	0.08815326512
2580	0.08813644697
2581	0.08811861657
2582	0.08811621203
2583	0.08810216137
2584	0.08807928236
2585	0.08805375792
2586	0.08802792228
2587	0.08801333924
2588	0.08799433619
2589	0.08797657251
2590	0.08794552903
2591	0.08792575974
2592	0.08788961905
2593	0.08788115569
2594	0.08782847253
2595	0.08781835881
2596	0.0877789634
2597	0.08776786243
2598	0.08773278475
2599	0.08772024467
2600	0.08767812294
2601	0.08764143556
2602	0.08760572527
2603	0.08759359291
2604	0.08756639322
2605	0.087557366
2606	0.08754014306
2607	0.08752788037
2608	0.08749841209
2609	0.08747220547
2610	0.08742614785
2611	0.08740027174
2612	0.08738453012
2613	0.08735587569
2614	0.08734486375
2615	0.0873256816
2616	0.08730553448
2617	0.08729676362
2618	0.08728121318
2619	0.08726284393
2620	0.08724602966
2621	0.08723212944
2622	0.08721697873
2623	0.08719359525
2624	0.08718931163
2625	0.08715030858
2626	0.08714280135
2627	0.0871387995
2628	0.0871278931
2629	0.08712654884
2630	0.08711952509
2631	0.08711596022
2632	0.08710818852
2633	0.08706829127
2634	0.0870470156
2635	0.08703397389
2636	0.0869836807
2637	0.0869693621
2638	0.0869533836
2639	0.0869411733
2640	0.08692883099
2641	0.08692304122
2642	0.08690101878
2643	0.08688309137
2644	0.08687685843
2645	0.08685637625
2646	0.08683919645
2647	0.08679356506
2648	0.08674676921
2649	0.08672204627
2650	0.08671191218
2651	0.08670624609
2652	0.08669100753
2653	0.0866724608
2654	0.08665129096
2655	0.08664884937
2656	0.08662601749
2657	0.08660647634
2658	0.08660333944
2659	0.08656025504
2660	0.08654324115
2661	0.08649300131
2662	0.08648267529
2663	0.08647297806
2664	0.08645986801
2665	0.08645131142
2666	0.08643952232
2667	0.08642991831
2668	0.08639586797
2669	0.08636351925
2670	0.08632703137
2671	0.08632374505
2672	0.08629343608
2673	0.08624803713
2674	0.08623181941
2675	0.08620401758
2676	0.08620042203
2677	0.08619031362
2678	0.0861644128
2679	0.08614577521
2680	0.08612808581
2681	0.0861035659
2682	0.08610244119
2683	0.08609520982
2684	0.08608278851
2685	0.08606303569
2686	0.0860509724
2687	0.08603185869
2688	0.08600583988
2689	0.08598239659
2690	0.0859648812
2691	0.08594965311
2692	0.08592219169
2693	0.08589553515
2694	0.0858737484
2695	0.08582684266
2696	0.08580003163
2697	0.08579112182
2698	0.08576025701
2699	0.08575145855
2700	0.08574820547
2701	0.08572070512
